Destination,Feedback_Score_Out_Of_10,Average_Hotel_Star_Rating,Number_Of_All_Inclusive_Hotels,Most_Visited_City
UK,7.6,3.4,1084,London
Canada,8.2,3.1,670,Vancouver
Norway,8.5,3.7,123,Oslo
Japan,7.7,3.9,1123,Tokyo
Germany,7.3,4.1,811,Berlin
India,6.6,2.4,3125,New Delhi
New Zealand,8.5,4.2,92,Wellington
France,7.2,3.3,1317,Paris
Garbage Island,1.2,1,6,Sewer City
Russia,5.9,3.5,1276,Moscow
South Africa,6.4,3,639,Cape Town
Ghana,6.3,2.9,289,Accra
Argentina,6.8,3.1,370,Buenos Aires
Brazil,6.4,3.6,1885,Sao Paulo
Jamaica,6.4,2.7,8,Kingston
